c_acc_number,cqr_longitude,cqr_latitude,zone_name_from_coordinates,cqr_acc_id_org,isthecustomeravailable,trw_id
NEWACCOUNT-36.0803310200572,36.08033102,-0.308284911,Central Zone,-1,NO,46364
NEWACCOUNT-36.08009163290262,36.08009163,-0.308250713,Central Zone,-1,NO,46313
NEWACCOUNT-36.07968796044588,36.07968796,-0.308093806,Central Zone,-1,NO,46173
NEWACCOUNT-36.08078196644783,36.08078197,-0.308041839,Central Zone,-1,NO,46503
NEWACCOUNT-36.08147867023945,36.08147867,-0.307929859,Central Zone,-1,NO,46735
NEWACCOUNT-36.079676896333694,36.0796769,-0.307642531,Central Zone,-1,NO,46167
NEWACCOUNT-36.080415174365044,36.08041517,-0.307464502,Central Zone,-1,NO,46388
NEWACCOUNT-36.07970338314772,36.07970338,-0.307364256,Central Zone,-1,NO,46184
NEWACCOUNT-36.08147967606783,36.08147968,-0.307101403,Central Zone,-1,NO,46736
NEWACCOUNT-36.08013220131397,36.0801322,-0.306694049,Central Zone,-1,NO,46321
NEWACCOUNT-36.07982710003853,36.0798271,-0.306642417,Central Zone,-1,NO,46224
NEWACCOUNT-36.08002994209528,36.08002994,-0.30659682,Central Zone,-1,NO,46300
NEWACCOUNT-36.08029849827289,36.0802985,-0.306329609,Central Zone,-1,NO,46352
NEWACCOUNT-36.08001921325922,36.08001921,-0.306220646,Central Zone,-1,NO,46294
NEWACCOUNT-36.07964940369129,36.0796494,-0.305333853,Central Zone,-1,NO,46156
NEWACCOUNT-36.07966750860214,36.07966751,-0.304466841,Central Zone,-1,NO,46165
NEWACCOUNT-36.07958905398846,36.07958905,-0.303539145,Central Zone,-1,NO,46140
NEWACCOUNT-36.079655438661575,36.07965544,-0.303512994,Central Zone,-1,NO,46158
NEWACCOUNT-36.079516634345055,36.07951663,-0.303383244,Central Zone,-1,NO,46111
NEWACCOUNT-36.079555191099644,36.07955519,-0.302900453,Central Zone,-1,NO,46132
NEWACCOUNT-36.075143963098526,36.07514396,-0.277350728,Northern Zone,-1,NO,44224
NEWACCOUNT-36.075303219258785,36.07530322,-0.286266619,Southern Zone,-1,NO,44311
NEWACCOUNT-36.075310595333576,36.0753106,-0.285722807,Southern Zone,-1,NO,44318
NEWACCOUNT-36.075319983065135,36.07531998,-0.289624367,Central Zone,-1,NO,44322
NEWACCOUNT-36.075337417423725,36.07533742,-0.28496811,Southern Zone,-1,NO,44330
NEWACCOUNT-36.0795022174716,36.07950222,-0.272514761,Northern Zone,-1,NO,46106
NEWACCOUNT-36.079502552747726,36.07950255,-0.300892512,Southern Zone,-1,NO,46108
NEWACCOUNT-36.07950288802385,36.07950289,-0.293435736,Southern Zone,-1,NO,46109
NEWACCOUNT-36.079517640173435,36.07951764,-0.293569174,Southern Zone,-1,NO,46112
NEWACCOUNT-36.07951998710632,36.07951999,-0.293824651,Southern Zone,-1,NO,46113
NEWACCOUNT-36.07952535152435,36.07952535,-0.301613681,Southern Zone,-1,NO,46116
NEWACCOUNT-36.079526022076614,36.07952602,-0.287070601,Southern Zone,-1,NO,46117
NEWACCOUNT-36.07953608036041,36.07953608,-0.301617705,Southern Zone,-1,NO,46121
NEWACCOUNT-36.07953708618879,36.07953709,-0.287811887,Southern Zone,-1,NO,46124
NEWACCOUNT-36.079540103673935,36.0795401,-0.293155784,Southern Zone,-1,NO,46125
NEWACCOUNT-36.07954949140549,36.07954949,-0.294170317,Southern Zone,-1,NO,46128
NEWACCOUNT-36.07959005981684,36.07959006,-0.293609742,Southern Zone,-1,NO,46141
NEWACCOUNT-36.07959743589163,36.07959744,-0.294780511,Southern Zone,-1,NO,46143
NEWACCOUNT-36.07960045337677,36.07960045,-0.297298736,Southern Zone,-1,NO,46147
NEWACCOUNT-36.07960984110832,36.07960984,-0.293834039,Southern Zone,-1,NO,46148
NEWACCOUNT-36.07963565737009,36.07963566,-0.29368082,Southern Zone,-1,NO,46151
NEWACCOUNT-36.07963565737009,36.07963566,-0.293638576,Southern Zone,-1,NO,46152
NEWACCOUNT-36.079656444489956,36.07965644,-0.292939534,Southern Zone,-1,NO,46160
NEWACCOUNT-36.07969667762518,36.07969668,-0.297741295,Southern Zone,-1,NO,46179
NEWACCOUNT-36.07970405369997,36.07970405,-0.29475503,Southern Zone,-1,NO,46186
NEWACCOUNT-36.07970539480448,36.07970539,-0.293599684,Southern Zone,-1,NO,46187
NEWACCOUNT-36.07972014695406,36.07972015,-0.293720717,Southern Zone,-1,NO,46192
NEWACCOUNT-36.07972752302885,36.07972752,-0.288378161,Southern Zone,-1,NO,46194
NEWACCOUNT-36.07974126935005,36.07974127,-0.301478902,Southern Zone,-1,NO,46197
